Song Name,Song Link,Language,comments
what jhumka,https://youtu.be/87JIOAX3njM?si=NBrnkDtdeKh1W6KJ,Hindi,
angrezi beat,https://youtu.be/q0LehEw6EpM?si=k9VlxCu6B4uYacYB,Hindi,
abhi to party shuru hui hai,https://youtu.be/8LZgzAZ2lpQ?si=9HfhtMXTuwhkFcuC,Hindi,
gallan goodiyan ,https://youtu.be/jCEdTq3j-0U?si=Ejphoc97FXWyB4fY,Hindi,
not ramaiya vastavaiya,https://youtu.be/m3OtL4peEWU?si=e_AvsaxF-qWAHosV,Hindi,
lungi dance,https://youtu.be/69CEiHfS_mc?si=NkEFZsFldlY-OYLX,Hindi,
natu natu,https://www.youtube.com/watch?v=pBVtSwb5G7M&ab_channel=T-SeriesTelugu,Telugu,
zingat zingat,https://youtu.be/2gcsgfzqN8k?si=snwTmWHr_wNP5WmA,Marathi,
dhagala lagli,https://youtu.be/5SJ5_xX2fBM?si=uFK6XwPGCDHcnS61,Marathi,
kamariya,https://www.youtube.com/watch?v=-60Bl9h7u5g&ab_channel=SachinSanghvi-Topic,Hindi,
koi kehe kehta rahe,https://youtu.be/ctJI7pCbxAo?si=e3kBGOgGlZ3CZOXU,Hindi,
oo antvava,https://youtu.be/EEqq0_Etuos?si=5R49jk6XnhaZN8_3,Telugu,
Zinda banda,https://youtu.be/stjZKBhQ3lg?si=gUzxmbWqTkQQ42gp,Hindi,
dugga elo,https://youtu.be/xlElO06nQy8?si=fISRsnwMvabqWR6O,bengali,
hulivesha beats,https://youtu.be/JHPhJa-qlWI?si=mcmCf7-dKvjw2MsP,Kannada,play from 2:28
jinke marina,https://youtu.be/PCbysJlomn8?si=sT-_m77XJPm7ia8W,Kannada,
tagaru tagaru,https://youtu.be/V3-Fd8wPuRA?si=mZFS_MrWmLNQmIvE,Kannada,
kammariya,https://www.youtube.com/watch?v=i0_m90T04uw&ab_channel=SonyMusicIndia,Hindi,
ra ra rakkamma,https://youtu.be/O_fUZHJ-X78?si=dDoNVEh7y6nlHk5r,Kannada,
tunak tunak,https://www.youtube.com/watch?v=4qRZmFYdozY&ab_channel=DalerMehndi,punjabi,
jamma jamma,https://youtu.be/uoNSD7IVkmk?si=H_i_5oso0Cmxoqts,Kannada,
turn down x gasolina,https://www.youtube.com/watch?v=NBnkjY-LBko&list=PLYbZ8xc6tqBgb-6OPHfgiFW5nk31T_Lon&index=13&ab_channel=IamLumoss,English,
Saiyaan Ji ,https://www.youtube.com/watch?v=Hb9gC-VTACU&ab_channel=DJShadIndia,Hindi,
maari,https://www.youtube.com/watch?v=OViH68fJUhM&list=PLYbZ8xc6tqBgb-6OPHfgiFW5nk31T_Lon&index=22&ab_channel=SonyMusicSouthVEVO,Telugu,
